state,statefips,countyfips,county,latino_cvap_2020,latino_voted_2020,latino_turnout_2020_cvap,avg24_residual
WV,54,89,Summers County,185,119,.64324325,
IN,18,121,Parke County,90,45,.5,
IL,17,127,Massac County,205,76,.37073171,
OH,39,29,Columbiana County,1000,333,.333,
SD,46,47,Fall River County,145,43,.29655173,
VA,51,57,Essex County,300,45,.15000001,
KY,21,41,Carroll County,330,21,.063636363,
OK,40,9,Beckham County,1835,554,.30190736,
VA,51,750,Radford city,415,150,.36144578,
AR,5,83,Logan County,350,69,.19714285,
AR,5,19,Clark County,370,110,.2972973,
LA,22,61,Lincoln Parish,515,101,.19611651,
FL,12,45,Gulf County,380,46,.12105263,
GA,13,227,Pickens County,340,154,.45294118,
OH,39,145,Scioto County,470,174,.37021276,
GA,13,81,Crisp County,320,51,.159375,
IA,19,11,Benton County,220,53,.24090908,
KS,20,121,Miami County,670,271,.40447763,
GA,13,211,Morgan County,170,88,.51764709,
WI,55,69,Lincoln County,215,133,.61860466,
KS,20,71,Greeley County,130,65,.5,
WV,54,25,Greenbrier County,415,92,.22168675,
TN,47,21,Cheatham County,515,112,.21747573,
WA,53,19,Ferry County,305,141,.46229509,
KY,21,137,Lincoln County,115,80,.69565219,
MN,27,45,Fillmore County,150,42,.28,
OR,41,63,Wallowa County,105,70,.66666669,
NC,37,169,Stokes County,490,221,.45102042,
AK,2,170,Matanuska-Susitna Borough,3185,1897,.59560442,
KY,21,51,Clay County,195,37,.18974359,
WY,56,3,Big Horn County,545,146,.26788992,
KY,21,99,Hart County,195,52,.26666668,
NC,37,117,Martin County,155,74,.47741935,
ID,16,57,Latah County,1275,440,.34509805,
KY,21,217,Taylor County,320,150,.46875,
AL,1,17,Chambers County,335,33,.098507464,
AK,2,130,Ketchikan Gateway Borough,460,283,.61521739,
PA,42,13,Blair County,1010,393,.3891089,
GA,13,291,Union County,395,100,.25316456,
NM,35,11,De Baca County,620,254,.40967742,
IL,17,87,Johnson County,230,71,.30869564,
OH,39,149,Shelby County,410,173,.42195123,
AL,1,133,Winston County,180,40,.22222222,
NV,32,27,Pershing County,905,279,.30828729,
ND,38,3,Barnes County,155,58,.37419355,
KY,21,147,McCreary County,320,54,.16875,
MO,29,63,DeKalb County,215,79,.36744186,
VA,51,93,Isle of Wight County,560,210,.375,
IL,17,57,Fulton County,760,130,.17105263,
AR,5,67,Jackson County,345,47,.13623188,
VA,51,830,Williamsburg city,670,268,.40000001,
TN,47,59,Greene County,935,108,.11550802,
IA,19,129,Mills County,225,89,.39555556,
IA,19,101,Jefferson County,335,77,.22985074,
NE,31,25,Cass County,470,211,.44893616,
VA,51,97,King and Queen County,95,35,.36842105,
KY,21,235,Whitley County,180,51,.28333333,
IL,17,109,McDonough County,615,169,.27479675,
TN,47,115,Marion County,265,32,.12075472,
ME,23,27,Waldo County,400,159,.39750001,
AK,2,150,Kodiak Island Borough,640,359,.56093752,
MT,30,35,Glacier County,220,53,.24090908,
AR,5,1,Arkansas County,260,39,.15000001,
NY,36,15,Chemung County,1610,534,.33167702,
IA,19,59,Dickinson County,210,82,.3904762,
MN,27,151,Swift County,180,71,.39444444,
TN,47,159,Smith County,185,46,.24864864,
KY,21,3,Allen County,60,41,.68333334,
NH,33,5,Cheshire County,1030,394,.38252428,
IL,17,53,Ford County,215,86,.40000001,
KY,21,19,Boyd County,395,127,.32151899,
IN,18,77,Jefferson County,375,129,.34400001,
KY,21,5,Anderson County,215,54,.2511628,
LA,22,53,Jefferson Davis Parish,410,44,.10731708,
FL,12,59,Holmes County,355,50,.14084508,
ID,16,15,Boise County,205,88,.4292683,
AK,2,122,Kenai Peninsula Borough,1520,1006,.66184211,
WV,54,55,Mercer County,480,129,.26875001,
KY,21,107,Hopkins County,400,98,.245,
MT,30,21,Dawson County,220,56,.25454545,
GA,13,149,Heard County,65,35,.53846157,
OH,39,59,Guernsey County,270,95,.35185185,
MS,28,39,George County,260,40,.15384616,
KY,21,1,Adair County,135,52,.38518518,
AK,2,110,Juneau City and Borough,1220,966,.7918033,
MO,29,65,Dent County,160,36,.22499999,
IL,17,185,Wabash County,130,37,.2846154,
CO,8,103,Rio Blanco County,400,211,.52749997,
AL,1,57,Fayette County,35,19,.54285717,
MD,24,23,Garrett County,185,90,.48648649,
MO,29,175,Randolph County,300,99,.33000001,
NE,31,101,Keith County,360,152,.42222223,
AR,5,17,Chicot County,165,34,.2060606,
IN,18,65,Henry County,550,147,.26727274,
UT,49,25,Kane County,280,78,.27857143,
OH,39,21,Champaign County,355,136,.3830986,
GA,13,207,Monroe County,295,100,.33898306,
MT,30,23,Deer Lodge County,255,79,.30980393,
VA,51,735,Poquoson city,280,147,.52499998,
KS,20,127,Morris County,135,103,.76296294,
MO,29,91,Howell County,470,203,.4319149,
NY,36,97,Schuyler County,230,83,.36086956,
KS,20,117,Marshall County,130,85,.65384614,
MS,28,135,Tallahatchie County,500,43,.086000003,
GA,13,25,Brantley County,155,30,.19354838,
GA,13,311,White County,740,114,.15405406,
MN,27,61,Itasca County,365,142,.3890411,
KY,21,179,Nelson County,505,129,.25544554,
OK,40,105,Nowata County,165,47,.28484848,
SC,45,61,Lee County,345,22,.063768119,
MS,28,17,Chickasaw County,265,36,.13584906,
UT,49,17,Garfield County,135,98,.72592592,
GA,13,199,Meriwether County,325,60,.18461539,
IN,18,15,Carroll County,355,81,.22816901,
AK,2,185,North Slope Borough,270,118,.43703705,
OH,39,5,Ashland County,485,163,.33608249,
PA,42,53,Forest County,350,66,.18857142,
OH,39,75,Holmes County,285,149,.522807,
PA,42,119,Union County,1910,542,.28376964,
MT,30,17,Custer County,245,84,.34285715,
MN,27,63,Jackson County,195,73,.37435898,
TX,48,23,Baylor County,380,70,.18421052,
GA,13,49,Charlton County,215,22,.10232558,
KS,20,5,Atchison County,315,114,.36190477,
MI,26,71,Iron County,160,43,.26875001,
AR,5,107,Phillips County,250,26,.104,
TX,48,351,Newton County,310,85,.27419356,
KY,21,103,Henry County,175,86,.49142858,
MS,28,149,Warren County,530,79,.1490566,
OH,39,159,Union County,675,400,.5925926,
IA,19,189,Winnebago County,305,103,.33770493,
VA,51,678,Lexington city,400,39,.097499996,
KY,21,173,Montgomery County,360,118,.32777777,
IN,18,137,Ripley County,235,96,.40851063,
IA,19,157,Poweshiek County,380,124,.32631579,
ME,23,9,Hancock County,505,322,.63762379,
AL,1,19,Cherokee County,140,24,.17142858,
FL,12,3,Baker County,565,139,.24601769,
MO,29,141,Morgan County,295,97,.32881355,
NV,32,29,Storey County,85,66,.7764706,
MO,29,107,Lafayette County,510,155,.30392158,
VA,51,23,Botetourt County,320,91,.28437501,
UT,49,29,Morgan County,185,59,.31891891,
WI,55,123,Vernon County,210,117,.55714285,
ME,23,25,Somerset County,370,149,.40270269,
PA,42,123,Warren County,240,82,.34166667,
AR,5,137,Stone County,125,55,.44,
MN,27,13,Blue Earth County,1400,643,.45928571,
MO,29,11,Barton County,130,49,.37692308,
VA,51,101,King William County,285,58,.20350876,
MO,29,27,Callaway County,565,188,.33274338,
AR,5,135,Sharp County,225,69,.30666667,
NC,37,41,Chowan County,165,38,.23030303,
OH,39,37,Darke County,445,151,.33932585,
SD,46,65,Hughes County,315,85,.26984128,
TN,47,139,Polk County,245,31,.12653062,
AR,5,121,Randolph County,145,57,.39310345,
AL,1,39,Covington County,370,46,.12432432,
AK,2,220,Sitka City and Borough,350,158,.45142856,
IN,18,45,Fountain County,250,39,.156,
NY,36,53,Madison County,1160,471,.40603447,
MO,29,15,Benton County,275,88,.31999999,
MN,27,95,Mille Lacs County,335,146,.43582091,
OR,41,25,Harney County,215,133,.61860466,
WV,54,107,Wood County,580,226,.38965517,
VA,51,157,Rappahannock County,100,73,.73000002,
AL,1,93,Marion County,325,42,.12923077,
KY,21,213,Simpson County,230,44,.19130434,
MS,28,67,Jones County,520,64,.12307692,
GA,13,271,Telfair County,100,28,.28,
AR,5,43,Drew County,350,52,.14857143,
KY,21,85,Grayson County,245,185,.75510204,
CO,8,19,Clear Creek County,475,240,.50526315,
AK,2,198,Prince of Wales-Hyder Census Area,135,73,.54074073,
OH,39,27,Clinton County,310,154,.4967742,
OH,39,109,Miami County,1030,532,.51650488,
KY,21,141,Logan County,310,165,.53225809,
ND,38,89,Stark County,965,286,.29637307,
OH,39,53,Gallia County,275,49,.17818181,
PA,42,117,Tioga County,280,166,.59285712,
KS,20,29,Cloud County,130,103,.79230767,
MO,29,217,Vernon County,280,48,.17142858,
IN,18,167,Vigo County,1790,560,.31284916,
MI,26,79,Kalkaska County,200,60,.30000001,
GA,13,205,Mitchell County,385,64,.16623376,
WV,54,97,Upshur County,265,27,.10188679,
IA,19,99,Jasper County,445,181,.40674156,
IL,17,5,Bond County,410,124,.30243903,
MO,29,177,Ray County,360,165,.45833334,
GA,13,143,Haralson County,310,69,.22258064,
MO,29,23,Butler County,445,167,.37528089,
NV,32,17,Lincoln County,210,87,.41428572,
TN,47,29,Cocke County,460,46,.1,
IA,19,121,Madison County,260,64,.24615385,
AL,1,53,Escambia County,540,49,.09074074,
TX,48,261,Kenedy County,225,129,.57333332,
LA,22,47,Iberville Parish,580,79,.1362069,
VA,51,141,Patrick County,330,71,.21515152,
NE,31,29,Chase County,225,24,.10666667,
MO,29,115,Linn County,200,64,.31999999,
MT,30,1,Beaverhead County,355,103,.29014084,
WA,53,65,Stevens County,985,524,.53197968,
KS,20,145,Pawnee County,350,84,.23999999,
TN,47,17,Carroll County,425,31,.072941177,
ND,38,77,Richland County,280,127,.45357144,
AK,2,13,Aleutians East Borough,140,37,.26428571,
MS,28,113,Pike County,330,27,.081818178,
NC,37,185,Warren County,245,56,.22857143,
WV,54,21,Gilmer County,180,28,.15555556,
SC,45,67,Marion County,225,45,.2,
OH,39,83,Knox County,530,247,.46603775,
VA,51,197,Wythe County,240,105,.4375,
VA,51,83,Halifax County,390,115,.29487181,
TX,48,119,Delta County,260,128,.49230769,
LA,22,111,Union Parish,360,68,.18888889,
TN,47,85,Humphreys County,235,27,.11489362,
PA,42,111,Somerset County,815,265,.32515338,
TN,47,77,Henderson County,190,48,.25263157,
NM,35,39,Rio Arriba County,20125,9963,.49505591,
GA,13,159,Jasper County,155,52,.33548388,
WV,54,29,Hancock County,255,76,.29803923,
MO,29,53,Cooper County,210,41,.1952381,
PA,42,31,Clarion County,240,82,.34166667,
WI,55,7,Bayfield County,165,52,.31515151,
MS,28,105,Oktibbeha County,625,54,.086400002,
KY,21,207,Russell County,205,65,.31707317,
MN,27,149,Stevens County,205,45,.21951219,
NY,36,123,Yates County,365,131,.35890412,
IN,18,153,Sullivan County,235,71,.30212766,
NE,31,59,Fillmore County,125,81,.648,
IN,18,117,Orange County,95,32,.33684212,
FL,12,67,Lafayette County,690,94,.13623188,
SC,45,39,Fairfield County,325,61,.18769231,
WA,53,49,Pacific County,950,435,.45789474,
MI,26,41,Delta County,295,104,.35254237,
AL,1,115,St. Clair County,755,199,.26357615,
KY,21,177,Muhlenberg County,110,25,.22727273,
SD,46,29,Codington County,220,86,.39090911,
GA,13,235,Pulaski County,235,29,.12340426,
MT,30,27,Fergus County,145,51,.35172415,
AR,5,109,Pike County,145,43,.29655173,
OH,39,107,Mercer County,335,214,.63880599,
MO,29,59,Dallas County,210,81,.38571429,
